### Level $000 ###
00: $82 - Bonus game sprite (0x0050, 0x0070)
11: $CA - Torpedo Ted launcher (0x0390, 0x0110)
12: $C2 - Blurp (0x0480, 0x0150)
13: $C2 - Blurp (0x0480, 0x0110)
14: $C2 - Blurp (0x04A0, 0x0170)
15: $C2 - Blurp (0x04A0, 0x0130)
16: $CA - Torpedo Ted launcher (0x04D0, 0x00F0)
17: $CA - Torpedo Ted launcher (0x0520, 0x0110)
18: $CA - Torpedo Ted launcher (0x0570, 0x0140)
19: $C2 - Blurp (0x05F0, 0x0190)
20: $C2 - Blurp (0x0600, 0x0170)
21: $C2 - Blurp (0x0650, 0x0100)
22: $C2 - Blurp (0x0660, 0x0140)
23: $C2 - Blurp (0x0690, 0x00F0)
24: $C2 - Blurp (0x06C0, 0x0100)
25: $CA - Torpedo Ted launcher (0x0710, 0x0150)
26: $C2 - Blurp (0x0720, 0x0180)
27: $CA - Torpedo Ted launcher (0x0760, 0x00F0)
28: $CA - Torpedo Ted launcher (0x07B0, 0x0110)
29: $CA - Torpedo Ted launcher (0x07B0, 0x0160)
30: $C2 - Blurp (0x0870, 0x0170)
31: $C2 - Blurp (0x0880, 0x0120)
32: $C2 - Blurp (0x08A0, 0x0150)
33: $CA - Torpedo Ted launcher (0x08C0, 0x0170)
34: $C2 - Blurp (0x08E0, 0x0130)
35: $C2 - Blurp (0x0900, 0x0120)
36: $CA - Torpedo Ted launcher (0x0930, 0x0120)
37: $CA - Torpedo Ted launcher (0x0990, 0x0160)
38: $CA - Torpedo Ted launcher (0x09E0, 0x0110)
39: $C2 - Blurp (0x0A30, 0x0180)
40: $C2 - Blurp (0x0A30, 0x0160)
41: $C2 - Blurp (0x0A30, 0x0140)
42: $C2 - Blurp (0x0A30, 0x0120)
43: $C2 - Blurp (0x0A70, 0x0190)
44: $CA - Torpedo Ted launcher (0x0A90, 0x0120)
45: $C2 - Blurp (0x0AA0, 0x0150)
46: $C2 - Blurp (0x0AB0, 0x0170)
47: $CA - Torpedo Ted launcher (0x0AD0, 0x0130)
48: $CA - Torpedo Ted launcher (0x0B10, 0x0140)
49: $C2 - Blurp (0x0BC0, 0x0170)
50: $C2 - Blurp (0x0BD0, 0x0150)
51: $C2 - Blurp (0x0BE0, 0x0100)

### Level $012 ###

### Level $013 ###
00: $E3 - Boo Ring moving clockwise (0x01A0, 0x0140)
01: $2F - Portable springboard (0x0290, 0x00F0)
02: $38 - Eerie that moves straight (0x02A0, 0x0160)
03: $3E - P-switch (0x02E0, 0x0170)
04: $28 - Big Boo (0x0330, 0x0140)

### Level $014 ###
00: $3E - P-switch (0x0080, 0x0170)

### Level $015 ###
00: $73 - Super Koopa on the ground (0x01C0, 0x0170)
01: $73 - Super Koopa on the ground (0x0230, 0x0150)
02: $73 - Super Koopa on the ground (0x0270, 0x0130)
03: $C7 - Invisible mushroom (0x02D0, 0x0170)
04: $72 - Super Koopa with yellow cape (0x0330, 0x00A0)
05: $98 - Pitchin' Chuck (0x03C0, 0x0170)
06: $73 - Super Koopa on the ground (0x04B0, 0x0140)
07: $73 - Super Koopa on the ground (0x0500, 0x0170)
08: $99 - Volcano Lotus (0x0590, 0x0130)
09: $09 - Green Koopa Troopa bouncing (0x0670, 0x0170)
10: $73 - Super Koopa on the ground (0x0690, 0x0110)
11: $09 - Green Koopa Troopa bouncing (0x06B0, 0x0170)
12: $73 - Super Koopa on the ground (0x0800, 0x0170)
13: $4F - Jumping Piranha Plant (0x0810, 0x0150)
14: $98 - Pitchin' Chuck (0x0840, 0x0170)
15: $72 - Super Koopa with yellow cape (0x0A30, 0x00B0)
16: $C7 - Invisible mushroom (0x0A50, 0x0170)
17: $73 - Super Koopa on the ground (0x0AB0, 0x0170)
18: $73 - Super Koopa on the ground (0x0AF0, 0x0170)
19: $73 - Super Koopa on the ground (0x0B10, 0x0140)
20: $72 - Super Koopa with yellow cape (0x0C30, 0x00B0)
21: $73 - Super Koopa on the ground (0x0C80, 0x0170)
22: $99 - Volcano Lotus (0x0CB0, 0x0140)
23: $73 - Super Koopa on the ground (0x0D70, 0x0110)
24: $98 - Pitchin' Chuck (0x0D90, 0x0170)
25: $98 - Pitchin' Chuck (0x0E80, 0x0170)
26: $99 - Volcano Lotus (0x0EF0, 0x0130)
27: $98 - Pitchin' Chuck (0x0FC0, 0x0130)
28: $73 - Super Koopa on the ground (0x10C0, 0x0170)
29: $73 - Super Koopa on the ground (0x10D0, 0x0110)
30: $73 - Super Koopa on the ground (0x10D0, 0x0130)
31: $73 - Super Koopa on the ground (0x10D0, 0x0150)
32: $B9 - Info Box (0x1160, 0x0150)
33: $80 - Key (0x11D0, 0x0060)
34: $0E - Keyhole (0x1210, 0x0060)
35: $99 - Volcano Lotus (0x1240, 0x0110)
36: $98 - Pitchin' Chuck (0x12B0, 0x0170)
37: $7B - Goal tape (0x12E0, 0x0170)

### Level $016 ###
00: $73 - Super Koopa on the ground (0x01C0, 0x0170)
01: $73 - Super Koopa on the ground (0x0230, 0x0150)
02: $73 - Super Koopa on the ground (0x0270, 0x0130)
03: $C7 - Invisible mushroom (0x02D0, 0x0170)
04: $72 - Super Koopa with yellow cape (0x0330, 0x00A0)
05: $98 - Pitchin' Chuck (0x03C0, 0x0170)
06: $73 - Super Koopa on the ground (0x04B0, 0x0140)
07: $73 - Super Koopa on the ground (0x0500, 0x0170)
08: $99 - Volcano Lotus (0x0590, 0x0130)
09: $09 - Green Koopa Troopa bouncing (0x0670, 0x0170)
10: $73 - Super Koopa on the ground (0x0690, 0x0110)
11: $09 - Green Koopa Troopa bouncing (0x06B0, 0x0170)
12: $73 - Super Koopa on the ground (0x0800, 0x0170)
13: $4F - Jumping Piranha Plant (0x0810, 0x0150)
14: $98 - Pitchin' Chuck (0x0840, 0x0170)
15: $72 - Super Koopa with yellow cape (0x0A30, 0x00B0)
16: $C7 - Invisible mushroom (0x0A50, 0x0170)
17: $73 - Super Koopa on the ground (0x0AB0, 0x0170)
18: $73 - Super Koopa on the ground (0x0AF0, 0x0170)
19: $73 - Super Koopa on the ground (0x0B10, 0x0140)
20: $72 - Super Koopa with yellow cape (0x0C30, 0x00B0)
21: $73 - Super Koopa on the ground (0x0C80, 0x0170)
22: $99 - Volcano Lotus (0x0CB0, 0x0140)
23: $73 - Super Koopa on the ground (0x0D70, 0x0110)
24: $98 - Pitchin' Chuck (0x0D90, 0x0170)
25: $98 - Pitchin' Chuck (0x0E80, 0x0170)
26: $99 - Volcano Lotus (0x0EF0, 0x0130)
27: $98 - Pitchin' Chuck (0x0FC0, 0x0130)
28: $73 - Super Koopa on the ground (0x10C0, 0x0170)
29: $73 - Super Koopa on the ground (0x10D0, 0x0110)
30: $73 - Super Koopa on the ground (0x10D0, 0x0130)
31: $73 - Super Koopa on the ground (0x10D0, 0x0150)
32: $B9 - Info Box (0x1160, 0x0150)
33: $80 - Key (0x11D0, 0x0060)
34: $0E - Keyhole (0x1210, 0x0060)
35: $99 - Volcano Lotus (0x1240, 0x0110)
36: $98 - Pitchin' Chuck (0x12B0, 0x0170)
37: $7B - Goal tape (0x12E0, 0x0170)

### Level $017 ###
00: $73 - Super Koopa on the ground (0x01C0, 0x0170)
01: $73 - Super Koopa on the ground (0x0230, 0x0150)
02: $73 - Super Koopa on the ground (0x0270, 0x0130)
03: $C7 - Invisible mushroom (0x02D0, 0x0170)
04: $72 - Super Koopa with yellow cape (0x0330, 0x00A0)
05: $98 - Pitchin' Chuck (0x03C0, 0x0170)
06: $73 - Super Koopa on the ground (0x04B0, 0x0140)
07: $73 - Super Koopa on the ground (0x0500, 0x0170)
08: $99 - Volcano Lotus (0x0590, 0x0130)
09: $09 - Green Koopa Troopa bouncing (0x0670, 0x0170)
10: $73 - Super Koopa on the ground (0x0690, 0x0110)
11: $09 - Green Koopa Troopa bouncing (0x06B0, 0x0170)
12: $73 - Super Koopa on the ground (0x0800, 0x0170)
13: $4F - Jumping Piranha Plant (0x0810, 0x0150)
14: $98 - Pitchin' Chuck (0x0840, 0x0170)
15: $72 - Super Koopa with yellow cape (0x0A30, 0x00B0)
16: $C7 - Invisible mushroom (0x0A50, 0x0170)
17: $73 - Super Koopa on the ground (0x0AB0, 0x0170)
18: $73 - Super Koopa on the ground (0x0AF0, 0x0170)
19: $73 - Super Koopa on the ground (0x0B10, 0x0140)
20: $72 - Super Koopa with yellow cape (0x0C30, 0x00B0)
21: $73 - Super Koopa on the ground (0x0C80, 0x0170)
22: $99 - Volcano Lotus (0x0CB0, 0x0140)
23: $73 - Super Koopa on the ground (0x0D70, 0x0110)
24: $98 - Pitchin' Chuck (0x0D90, 0x0170)
25: $98 - Pitchin' Chuck (0x0E80, 0x0170)
26: $99 - Volcano Lotus (0x0EF0, 0x0130)
27: $98 - Pitchin' Chuck (0x0FC0, 0x0130)
28: $73 - Super Koopa on the ground (0x10C0, 0x0170)
29: $73 - Super Koopa on the ground (0x10D0, 0x0110)
30: $73 - Super Koopa on the ground (0x10D0, 0x0130)
31: $73 - Super Koopa on the ground (0x10D0, 0x0150)
32: $B9 - Info Box (0x1160, 0x0150)
33: $80 - Key (0x11D0, 0x0060)
34: $0E - Keyhole (0x1210, 0x0060)
35: $99 - Volcano Lotus (0x1240, 0x0110)
36: $98 - Pitchin' Chuck (0x12B0, 0x0170)
37: $7B - Goal tape (0x12E0, 0x0170)

### Level $018 ###
00: $C9 - Bullet Bill shooter (0x0110, 0x00A0)
01: $C9 - Bullet Bill shooter (0x0160, 0x00C0)
02: $C9 - Bullet Bill shooter (0x0180, 0x0050)
03: $C9 - Bullet Bill shooter (0x0230, 0x00E0)

### Level $019 ###

### Level $01A ###
00: $E9 - Layer 2 Smash (0x0080, 0x0000)
01: $30 - Dry Bones that throws bones (0x0110, 0x0170)
02: $2F - Portable springboard (0x0140, 0x0180)
03: $2F - Portable springboard (0x0150, 0x0180)
04: $67 - Grinder, line-guided (0x02D0, 0x0160)
05: $67 - Grinder, line-guided (0x0340, 0x0160)
06: $67 - Grinder, line-guided (0x0390, 0x0160)
07: $67 - Grinder, line-guided (0x0400, 0x0160)
08: $33 - Podoboo/vertical fireball (0x0420, 0x0100)
09: $33 - Podoboo/vertical fireball (0x0490, 0x00F0)
10: $67 - Grinder, line-guided (0x04C0, 0x0160)
11: $67 - Grinder, line-guided (0x0550, 0x0130)
12: $67 - Grinder, line-guided (0x05D0, 0x0140)
13: $67 - Grinder, line-guided (0x06B0, 0x0150)
14: $67 - Grinder, line-guided (0x0730, 0x0140)
15: $67 - Grinder, line-guided (0x0770, 0x0170)
16: $67 - Grinder, line-guided (0x0810, 0x0100)
17: $67 - Grinder, line-guided (0x0870, 0x0110)
18: $67 - Grinder, line-guided (0x08B0, 0x0120)
19: $E9 - Layer 2 Smash (0x0B80, 0x0000)

### Level $01B ###
00: $AD - Wooden spike pointing up (0x0130, 0x0170)
01: $AC - Wooden spike pointing down (0x0130, 0x0100)
02: $32 - Dry Bones that stays on ledges (0x01A0, 0x0170)
03: $AC - Wooden spike pointing down (0x01C0, 0x00F0)
04: $AD - Wooden spike pointing up (0x01C0, 0x0140)
05: $AC - Wooden spike pointing down (0x0270, 0x0110)
06: $AC - Wooden spike pointing down (0x0320, 0x00E0)
07: $32 - Dry Bones that stays on ledges (0x03A0, 0x0170)
08: $AC - Wooden spike pointing down (0x03D0, 0x0130)
09: $B3 - Bowser statue fireball (0x03E0, 0x0160)
10: $D8 - Bowser statue fire generator (0x0410, 0x0000)
11: $AD - Wooden spike pointing up (0x0490, 0x0160)
12: $B3 - Bowser statue fireball (0x04A0, 0x0170)
13: $AC - Wooden spike pointing down (0x0500, 0x0100)
14: $B3 - Bowser statue fireball (0x05E0, 0x0160)
15: $32 - Dry Bones that stays on ledges (0x0600, 0x0170)
16: $AD - Wooden spike pointing up (0x0630, 0x0170)
17: $AD - Wooden spike pointing up (0x0640, 0x0140)
18: $AC - Wooden spike pointing down (0x06C0, 0x00F0)
19: $AD - Wooden spike pointing up (0x06C0, 0x0140)
20: $AC - Wooden spike pointing down (0x0700, 0x00F0)
21: $AD - Wooden spike pointing up (0x0700, 0x0140)
22: $AD - Wooden spike pointing up (0x0730, 0x0170)
23: $AC - Wooden spike pointing down (0x0730, 0x0100)
24: $AD - Wooden spike pointing up (0x0770, 0x0170)
25: $AC - Wooden spike pointing down (0x0770, 0x0100)
26: $D9 - Turn Off Generators (0x07E0, 0x0000)

### Level $01C ###
00: $13 - Spiny (0x00B0, 0x0140)
01: $13 - Spiny (0x0110, 0x0100)
02: $13 - Spiny (0x0110, 0x0170)
03: $3E - P-switch (0x0170, 0x0040)
04: $3E - P-switch (0x01A0, 0x0170)
05: $13 - Spiny (0x01D0, 0x0170)
06: $13 - Spiny (0x01D0, 0x0100)
07: $13 - Spiny (0x0290, 0x0170)
08: $74 - Mushroom (0x02F0, 0x0140)
09: $13 - Spiny (0x0350, 0x0100)
10: $13 - Spiny (0x0350, 0x0170)
11: $13 - Spiny (0x03B0, 0x0140)
12: $81 - Changing item (0x0410, 0x0170)
13: $13 - Spiny (0x0470, 0x0140)
14: $13 - Spiny (0x04F0, 0x0170)
15: $13 - Spiny (0x05C0, 0x0170)
16: $13 - Spiny (0x05C0, 0x0100)
17: $3F - Para-Goomba (0x0720, 0x00A0)
18: $40 - Para-Bomb (0x0760, 0x00A0)
19: $3F - Para-Goomba (0x07A0, 0x00A0)
20: $40 - Para-Bomb (0x07E0, 0x00A0)
21: $DA - Green Koopa shell (0x0930, 0x0120)
22: $DB - Red Koopa shell (0x0960, 0x0090)
23: $DC - Blue Koopa shell (0x0980, 0x0090)
24: $DD - Yellow Koopa shell (0x09A0, 0x0090)
25: $DA - Green Koopa shell (0x09C0, 0x0090)
26: $DB - Red Koopa shell (0x09E0, 0x0090)
27: $DC - Blue Koopa shell (0x0A00, 0x0090)
28: $DD - Yellow Koopa shell (0x0A20, 0x0090)
29: $DA - Green Koopa shell (0x0A40, 0x0090)
30: $49 - Growing/shrinking pipe (0x0B40, 0x0150)
31: $49 - Growing/shrinking pipe (0x0B80, 0x0130)
32: $49 - Growing/shrinking pipe (0x0BC0, 0x0150)
33: $49 - Growing/shrinking pipe (0x0C00, 0x0120)
34: $49 - Growing/shrinking pipe (0x0C40, 0x0160)
35: $59 - Turn block bridge, horizontal and vertical (0x0D00, 0x0130)
36: $59 - Turn block bridge, horizontal and vertical (0x0D60, 0x0110)
37: $59 - Turn block bridge, horizontal and vertical (0x0DC0, 0x0140)
38: $49 - Growing/shrinking pipe (0x0E00, 0x0170)
39: $95 - Chargin' Chuck (0x0E70, 0x0120)
40: $95 - Chargin' Chuck (0x0F50, 0x0170)
41: $95 - Chargin' Chuck (0x0F80, 0x0170)
42: $95 - Chargin' Chuck (0x0FB0, 0x0170)
43: $7B - Goal tape (0x0FE0, 0x0170)

### Level $01D ###
00: $B7 - Carrot Top Lift, upper right (0x01F0, 0x00E0)
01: $B8 - Carrot Top Lift, upper left (0x02F0, 0x0140)
02: $B7 - Carrot Top Lift, upper right (0x0310, 0x00A0)
03: $B7 - Carrot Top Lift, upper right (0x0350, 0x0100)
04: $B7 - Carrot Top Lift, upper right (0x04B0, 0x00F0)
05: $B7 - Carrot Top Lift, upper right (0x04F0, 0x0090)
06: $B8 - Carrot Top Lift, upper left (0x0540, 0x0180)
07: $B7 - Carrot Top Lift, upper right (0x0550, 0x0030)
08: $B7 - Carrot Top Lift, upper right (0x0560, 0x00B0)
09: $B8 - Carrot Top Lift, upper left (0x0590, 0x0170)
10: $B7 - Carrot Top Lift, upper right (0x05E0, 0x0100)
11: $C4 - Gray platform that falls (0x0600, 0x0170)
12: $78 - 1-Up mushroom (0x06D0, 0x0130)
13: $78 - 1-Up mushroom (0x06E0, 0x0130)
14: $78 - 1-Up mushroom (0x0700, 0x0130)
15: $B7 - Carrot Top Lift, upper right (0x0720, 0x0140)
16: $B7 - Carrot Top Lift, upper right (0x0780, 0x0120)
17: $B7 - Carrot Top Lift, upper right (0x07E0, 0x0100)
18: $B7 - Carrot Top Lift, upper right (0x0820, 0x0100)
19: $BF - Mega Mole (0x0AA0, 0x0150)
20: $BF - Mega Mole (0x0B20, 0x0050)
21: $BF - Mega Mole (0x0BC0, 0x0150)
22: $95 - Chargin' Chuck (0x0DA0, 0x0150)
23: $7B - Goal tape (0x0DE0, 0x0170)

### Level $01E ###

### Level $01F ###
00: $F3 - Standard auto-scroll command (0x0080, 0x0000)
01: $E6 - Background candle flames (0x0000, 0x0000)
02: $89 - Layer 3 Smash (0x0120, 0x0000)
03: $67 - Grinder, line-guided (0x0190, 0x0150)
04: $67 - Grinder, line-guided (0x0210, 0x0140)
05: $67 - Grinder, line-guided (0x02B0, 0x0150)
06: $67 - Grinder, line-guided (0x0330, 0x0140)
07: $67 - Grinder, line-guided (0x0430, 0x0140)
08: $67 - Grinder, line-guided (0x04D0, 0x0130)
09: $67 - Grinder, line-guided (0x0510, 0x0120)

### Level $020 ###
00: $B1 - Creating/eating block (0x01B0, 0x0180)
01: $B1 - Creating/eating block (0x0200, 0x0180)
02: $33 - Podoboo/vertical fireball (0x0250, 0x0150)
03: $B6 - Reflecting fireball (0x0370, 0x0140)
04: $B6 - Reflecting fireball (0x04E0, 0x00F0)
05: $B6 - Reflecting fireball (0x0500, 0x0150)
06: $B6 - Reflecting fireball (0x0530, 0x00F0)
07: $B6 - Reflecting fireball (0x0580, 0x0150)
08: $B2 - Falling spike (0x0810, 0x00E0)
09: $B2 - Falling spike (0x08B0, 0x00E0)
10: $3E - P-switch (0x0A80, 0x0150)
11: $B2 - Falling spike (0x0A80, 0x0110)
12: $33 - Podoboo/vertical fireball (0x0B50, 0x0130)
13: $33 - Podoboo/vertical fireball (0x0B70, 0x0120)
14: $33 - Podoboo/vertical fireball (0x0BB0, 0x0140)
15: $78 - 1-Up mushroom (0x0BC0, 0x00E0)
16: $BC - Bowser statue (0x0BD0, 0x00E0)
17: $BC - Bowser statue (0x0C50, 0x0150)
18: $5A - Turn block bridge, horizontal (0x0CC0, 0x0160)
19: $B6 - Reflecting fireball (0x0D20, 0x0190)
20: $5A - Turn block bridge, horizontal (0x0D30, 0x0160)
21: $B6 - Reflecting fireball (0x0D50, 0x0110)
22: $BC - Bowser statue (0x0D70, 0x0150)
23: $5A - Turn block bridge, horizontal (0x0DA0, 0x0160)
24: $B6 - Reflecting fireball (0x0DB0, 0x0110)
25: $BC - Bowser statue (0x0E70, 0x0150)

### Level $021 ###
00: $52 - Moving hole in ghost house ledge (0x0110, 0x0180)
01: $38 - Eerie that moves straight (0x0180, 0x0170)
02: $38 - Eerie that moves straight (0x0190, 0x0160)
03: $52 - Moving hole in ghost house ledge (0x03A0, 0x0180)
04: $DE - Group of 5 wave-moving Eeries (0x03B0, 0x0150)
05: $39 - Eerie that moves in a wave (0x0450, 0x0150)
06: $39 - Eerie that moves in a wave (0x0460, 0x0150)
07: $39 - Eerie that moves in a wave (0x0470, 0x0150)
08: $52 - Moving hole in ghost house ledge (0x0490, 0x0180)
09: $38 - Eerie that moves straight (0x0500, 0x0120)
10: $38 - Eerie that moves straight (0x0500, 0x0170)
11: $52 - Moving hole in ghost house ledge (0x05A0, 0x0180)
12: $AE - Fishin' Boo (0x05F0, 0x00C0)
13: $39 - Eerie that moves in a wave (0x0760, 0x0160)
14: $38 - Eerie that moves straight (0x08C0, 0x0140)
15: $DE - Group of 5 wave-moving Eeries (0x09A0, 0x0110)
16: $52 - Moving hole in ghost house ledge (0x0AE0, 0x0180)
17: $39 - Eerie that moves in a wave (0x0B30, 0x0110)
18: $39 - Eerie that moves in a wave (0x0B30, 0x0160)
19: $38 - Eerie that moves straight (0x0BC0, 0x0160)
20: $52 - Moving hole in ghost house ledge (0x0BD0, 0x0180)
21: $38 - Eerie that moves straight (0x0BE0, 0x0130)
22: $52 - Moving hole in ghost house ledge (0x0CC0, 0x0180)
23: $39 - Eerie that moves in a wave (0x0D30, 0x0150)
24: $52 - Moving hole in ghost house ledge (0x0DB0, 0x0180)

### Level $022 ###
00: $6E - Dino-Rhino (0x0110, 0x0170)
01: $6F - Dino-Torch (0x01B0, 0x0100)
02: $C7 - Invisible mushroom (0x0240, 0x0100)
03: $6F - Dino-Torch (0x0260, 0x0100)
04: $6E - Dino-Rhino (0x0320, 0x0160)
05: $6F - Dino-Torch (0x03E0, 0x0160)
06: $6F - Dino-Torch (0x0410, 0x0160)
07: $6F - Dino-Torch (0x0440, 0x0150)
08: $6E - Dino-Rhino (0x0480, 0x0160)
09: $83 - Flying question block that flies left (0x0490, 0x0120)
10: $6F - Dino-Torch (0x0520, 0x0150)
11: $6F - Dino-Torch (0x0560, 0x0170)
12: $4F - Jumping Piranha Plant (0x05D0, 0x0150)
13: $6F - Dino-Torch (0x0610, 0x00F0)
14: $6E - Dino-Rhino (0x0820, 0x0110)
15: $2F - Portable springboard (0x0960, 0x0170)
16: $3E - P-switch (0x0A60, 0x0160)
17: $95 - Chargin' Chuck (0x0AC0, 0x0110)
18: $6E - Dino-Rhino (0x0C70, 0x0150)
19: $6F - Dino-Torch (0x0CB0, 0x0140)
20: $83 - Flying question block that flies left (0x0CD0, 0x0100)
21: $6F - Dino-Torch (0x0D00, 0x0110)
22: $6F - Dino-Torch (0x0D70, 0x0100)
23: $4F - Jumping Piranha Plant (0x0E50, 0x0150)
24: $6F - Dino-Torch (0x0EA0, 0x0160)
25: $4F - Jumping Piranha Plant (0x0F20, 0x0160)
26: $6E - Dino-Rhino (0x0F50, 0x0170)
27: $6F - Dino-Torch (0x0FD0, 0x0160)
28: $4F - Jumping Piranha Plant (0x0FE0, 0x0130)
29: $6F - Dino-Torch (0x1020, 0x0160)
30: $8E - Invisible warp hole (0x10A0, 0x0140)
31: $0A - Red Koopa Troopa flying vertically (0x11B0, 0x0140)
32: $2F - Portable springboard (0x1230, 0x0170)
33: $7B - Goal tape (0x12E0, 0x0170)

### Level $023 ###
00: $A3 - Rotating gray platform (0x0120, 0x0140)
01: $05 - Red Koopa Troopa (0x0230, 0x0100)
02: $A3 - Rotating gray platform (0x0230, 0x0110)
03: $06 - Blue Koopa Troopa (0x0370, 0x0160)
04: $A3 - Rotating gray platform (0x0370, 0x0170)
05: $05 - Red Koopa Troopa (0x03F0, 0x0130)
06: $A3 - Rotating gray platform (0x03F0, 0x0140)
07: $A3 - Rotating gray platform (0x04A0, 0x0160)
08: $06 - Blue Koopa Troopa (0x04A0, 0x0150)
09: $05 - Red Koopa Troopa (0x0570, 0x0170)
10: $06 - Blue Koopa Troopa (0x0640, 0x0150)
11: $A3 - Rotating gray platform (0x0640, 0x0160)
12: $A3 - Rotating gray platform (0x0700, 0x0150)
13: $05 - Red Koopa Troopa (0x0700, 0x0140)
14: $06 - Blue Koopa Troopa (0x0790, 0x0140)
15: $A3 - Rotating gray platform (0x0790, 0x0150)
16: $A3 - Rotating gray platform (0x0840, 0x0150)
17: $06 - Blue Koopa Troopa (0x0840, 0x0140)
18: $05 - Red Koopa Troopa (0x08E0, 0x0110)
19: $A3 - Rotating gray platform (0x08E0, 0x0120)
20: $A3 - Rotating gray platform (0x0980, 0x0100)
21: $06 - Blue Koopa Troopa (0x0980, 0x00F0)
22: $06 - Blue Koopa Troopa (0x0980, 0x0170)
23: $06 - Blue Koopa Troopa (0x0A90, 0x0140)
24: $A3 - Rotating gray platform (0x0A90, 0x0150)
25: $05 - Red Koopa Troopa (0x0B30, 0x0130)
26: $A3 - Rotating gray platform (0x0B30, 0x0140)
27: $06 - Blue Koopa Troopa (0x0B90, 0x0170)
28: $06 - Blue Koopa Troopa (0x0BB0, 0x0170)
29: $A5 - Wall-following Sparky/Fuzzy (0x0CB0, 0x0140)
30: $A3 - Rotating gray platform (0x0CB0, 0x0150)
31: $0A - Red Koopa Troopa flying vertically (0x0D00, 0x0140)
32: $0A - Red Koopa Troopa flying vertically (0x0D00, 0x0120)
33: $A3 - Rotating gray platform (0x0D50, 0x0140)
34: $A5 - Wall-following Sparky/Fuzzy (0x0E60, 0x0140)
35: $A3 - Rotating gray platform (0x0E60, 0x0150)
36: $A5 - Wall-following Sparky/Fuzzy (0x0EE0, 0x0130)
37: $A3 - Rotating gray platform (0x0EE0, 0x0140)
38: $A5 - Wall-following Sparky/Fuzzy (0x0F70, 0x0160)
39: $A3 - Rotating gray platform (0x0F70, 0x0170)
40: $A5 - Wall-following Sparky/Fuzzy (0x0FF0, 0x0110)
41: $A3 - Rotating gray platform (0x0FF0, 0x0120)
42: $A3 - Rotating gray platform (0x1080, 0x0160)
43: $0A - Red Koopa Troopa flying vertically (0x10C0, 0x0140)
44: $A5 - Wall-following Sparky/Fuzzy (0x1110, 0x0140)
45: $A3 - Rotating gray platform (0x1110, 0x0150)
46: $A3 - Rotating gray platform (0x1270, 0x0070)
47: $06 - Blue Koopa Troopa (0x12E0, 0x0170)
48: $7B - Goal tape (0x12E0, 0x00C0)
49: $7B - Goal tape (0x16E0, 0x0570)

### Level $024 ###
00: $B9 - Info Box (0x0070, 0x0140)
01: $6F - Dino-Torch (0x00C0, 0x0130)
02: $2F - Portable springboard (0x00E0, 0x0130)
03: $6E - Dino-Rhino (0x0110, 0x0170)
04: $6F - Dino-Torch (0x01B0, 0x0170)
05: $6E - Dino-Rhino (0x01C0, 0x0080)
06: $6E - Dino-Rhino (0x01D0, 0x00F0)
07: $6F - Dino-Torch (0x01F0, 0x0090)
08: $6F - Dino-Torch (0x02F0, 0x0080)
09: $6F - Dino-Torch (0x0310, 0x0140)
10: $6F - Dino-Torch (0x0330, 0x00E0)
11: $6E - Dino-Rhino (0x0360, 0x00A0)

### Level $025 ###

### Level $026 ###

### Level $027 ###

### Level $028 ###

### Level $029 ###

### Level $02A ###

### Level $02B ###

### Level $02C ###

### Level $02D ###

### Level $02E ###

### Level $02F ###

### Level $030 ###

### Level $031 ###

### Level $032 ###

### Level $033 ###

### Level $034 ###

### Level $035 ###

### Level $036 ###

### Level $037 ###

### Level $038 ###

### Level $039 ###

### Level $03A ###

### Level $03B ###

### Level $03C ###

### Level $03D ###

### Level $03E ###

### Level $03F ###

### Level $040 ###

### Level $041 ###

### Level $042 ###

### Level $043 ###

### Level $044 ###

### Level $045 ###

### Level $046 ###

### Level $047 ###

### Level $048 ###

### Level $049 ###

### Level $04A ###

### Level $04B ###

### Level $04C ###

### Level $04D ###

### Level $04E ###

### Level $04F ###

### Level $050 ###

### Level $051 ###

### Level $052 ###

### Level $053 ###

### Level $054 ###

### Level $055 ###

### Level $056 ###

### Level $057 ###

### Level $058 ###

### Level $059 ###

### Level $05A ###

### Level $05B ###

### Level $05C ###

### Level $05D ###

### Level $05E ###

### Level $05F ###

### Level $060 ###

### Level $061 ###

### Level $062 ###

### Level $063 ###

### Level $064 ###

### Level $065 ###

### Level $066 ###

### Level $067 ###

### Level $068 ###

### Level $069 ###

### Level $06A ###

### Level $06B ###

### Level $06C ###

### Level $06D ###

### Level $06E ###

### Level $06F ###

### Level $070 ###

### Level $071 ###

### Level $072 ###

### Level $073 ###

### Level $074 ###

### Level $075 ###

### Level $076 ###

### Level $077 ###

### Level $078 ###

### Level $079 ###

### Level $07A ###

### Level $07B ###

### Level $07C ###

### Level $07D ###

### Level $07E ###

### Level $07F ###

### Level $080 ###

### Level $081 ###

### Level $082 ###

### Level $083 ###

### Level $084 ###

### Level $085 ###

### Level $086 ###

### Level $087 ###

### Level $088 ###

### Level $089 ###

### Level $08A ###

### Level $08B ###

### Level $08C ###

### Level $08D ###

### Level $08E ###

### Level $08F ###

### Level $090 ###

### Level $091 ###

